CATEGORY,JAPANESE,KANJI,ENGLISH,ROMAJI
Family,そふ,祖父,grandfather ( sofu ),ojii-san
Family,そぼ,祖母,grandmother ( sobo ),obaa-san
Family,まご,孫,grandchild,mago
Family,おじ,伯父 / 叔父,uncle ( oji ),oji-san
Family,おば,伯母 / 叔母,aunt ( oba ),oba-san
Family,いとこ,従兄弟 / 従姉妹 / 従兄 / 従弟 / 従姉 / 従妹,cousin,itoko
Family,めい,姪,niece,mei
Family,おい,甥,nephew,oi
Life,いきもの,生き物,living creatures,ikimono
Life,ばけもの,化け物,monster,bakemono
Animals,どうぶつ,動物,animal,dōbutsu
Animals,チーター,,cheetah,chītā
Animals,いぬ,犬,dog,inu
Animals,ねこ,猫,cat,neko
Animals,うし,牛,cow,ushi
Animals,ぶた,豚,pig,buta
Animals,うま,馬,horse,uma
Animals,ひつじ,羊,sheep,hitsuji
Animals,さる,猿,monkey,saru
Animals,ねずみ,鼠,"mouse, rat",nezumi
Animals,とら,虎,tiger,tora
Animals,オオカミ,狼,wolf,ōkami
Animals,うさぎ,兎,rabbit,usagi
Animals,りゅう,竜,"dragon ( ryū , tatsu",tatsu
Animals,しか,鹿,deer,shika
Animals,かえる,蛙,frog,kaeru
Animals,がま,蟇,toad,gama
Animals,しし,獅子,lion,shishi
Animals,キリン,麒麟,giraffe,kirin
Animals,ぞう,象,elephant,zō
Animals,とり,鳥,bird,tori
Animals,にわとり,鶏,chicken,niwatori
Animals,すずめ,雀,sparrow,suzume
Animals,からす,烏,"crow, raven",karasu
Animals,わし,鷲,eagle,washi
Animals,たか,鷹,"hawk, falcon",taka
Animals,さかな,魚,fish,sakana
Animals,たい,鯛,red snapper,tai
Animals,えび,海老,"shrimp, lobster",ebi
Animals,いわし,鰯,sardine,iwashi
Animals,まぐろ,鮪,tuna,maguro
Animals,かつお,鰹,bonito,katsuo
Animals,さんま,秋刀魚,pike,sanma
Animals,あじ,鰺,horse mackerel,aji
Animals,さば,鯖,mackerel,saba
Animals,イカ,烏賊,squid,ika
Animals,タコ,蛸 / 章魚,octopus,tako
Animals,むし,虫,insect,mushi
Animals,ちょう,蝶,butterfly,chō
Animals,ガ,蛾,moth,ga
Animals,せみ,蝉,cicada,semi
Animals,トンボ,蜻蛉,dragonfly,tonbo
Animals,バッタ,飛蝗,grasshopper,batta
Animals,クモ,蜘蛛,spider,kumo
Animals,ホタル,蛍,firefly,hotaru
Animals,ハエ,蝿 / 蠅,housefly,hae
Animals,カ,蚊,"mosquito, gnat",ka
Animals,ゴキブリ,蜚蠊,cockroach,gokiburi
Animals,カタツムリ,蝸牛,snail,katatsumuri
Animals,ナメクジ,蛞蝓,slug,namekuji
Animals,ミミズ,蚯蚓,earthworm,mimizu
Animals,かい,貝,shellfish,kai
Animals,かいがら,貝殻,shell,kaigara
Animals,トカゲ,蜥蜴,lizard,tokage
Animals,へび,蛇,snake,hebi
Animals,くま,熊,bear,kuma
Plants,しょくぶつ,植物,plants,shokubutsu
Plants,くさ,草,grass,kusa
Plants,はな,花,flower,hana
Plants,み,実,fruit,mi
Plants,き,木,tree,ki
Plants,は,葉 / 葉っぱ,"leaf ( ha , happa",happa
Plants,ね,根 / 根っ子,"root ( ne , nekko",nekko
Plants,くき,茎,stem,kuki
Plants,きのこ,茸,mushroom,kinoko
Plants,きく,菊,chrysanthemum,kiku
Plants,さくら,桜,cherry blossom,sakura
Plants,まつ,松,pine tree,matsu
Plants,うめ,梅,japanese plum or apricot,ume
Crops,こめ,米,uncooked rice,kome
Crops,いね,稲,rice growing in a field,ine
Crops,むぎ,麦,"wheat, barley, oats",mugi
Crops,やさい,野菜,vegetable,yasai
Crops,くだもの,果物,fruit for eating,kudamono
Crops,いも,芋,"yam, potato, taro",imo
Crops,まめ,豆,"beans, peas",mame
Crops,だいこん,大根,Japanese white radish,daikon
Crops,にんじん,人参,carrot,ninjin
Crops,リンゴ,林檎,apple,ringo
Crops,ミカン,蜜柑,mandarin orange,mikan
Crops,バナナ,甘蕉,"banana ( banana , kanshō",kanshō
Crops,ナシ,梨,pear,nashi
Crops,クリ,栗,chestnut tree,kuri
Crops,モモ,桃,peach,momo
Crops,トマト,蕃茄,"tomato ( tomato , banka",banka
Crops,スイカ,西瓜,watermelon,suika
Food,たべもの,食べ物,food,tabemono
Food,ちょうしょく,朝食,"breakfast ( chōshoku , asagohan",asagohan
Food,ひるごはん,昼御飯,lunch,hirugohan
Food,ばんごはん,晩御飯,dinner,bangohan
Food,ごはん,御飯,cooked rice or meal,gohan
Food,みそ,味噌,miso,miso
Food,りょうり,料理,cooking,ryōri
Food,サラダ,,salad,sarada
Food,デザート,,dessert,dezāto
Food,パン,,bread,pan
Food,サンドイッチ,,sandwich,sandoitchi
Food,おやつ,間食,"snack ( oyatsu , kanshoku",kanshoku
Food,アイスクリーム,,ice cream,aisukurīmu
Food,たこやき,たこ焼き,octopus dumpling,takoyaki
Drink,のみもの,飲み物,drink/beverage,nomimono
Drink,ちゃ,茶,tea,cha
Drink,おちゃ,お茶,green tea,ocha
Drink,コーヒー,珈琲,coffee,kōhī
Drink,ぎゅうにゅう,牛乳,milk,gyūnyū
Drink,みず,水,water,mizu
Drink,ビール,,beer,bīru
Drink,ワイン,,wine,wain
Seasoning,さとう,砂糖,sugar,satō
Seasoning,しお,塩,salt,shio
Seasoning,しょうゆ,醤油,soy sauce,shōyu
Time,じかん,時間,time,jikan
Time,とき,時,"~hours ( toki , ji",ji
Time,こよみ,暦,"calendar ( koyomi , karendā",karendā
Time,ふん,分,minute,fun
Time,びょう,秒,second,byō
Time,ひ,日,"day ( hi , nichi",nichi
Time,つき,月,"month ( tsuki , gatsu",gatsu
Time,とし,年,"year ( toshi , nen",nen
Time,きのう,昨日,"yesterday ( kinō , sakujitsu",sakujitsu
Time,きょう,今日,today,kyō
Time,あした,明日,"tomorrow ( ashita , asu , myōnichi",myōnichi
Time,あさ,朝,morning,asa
Time,ひる,昼,afternoon,hiru
Time,ゆうがた,夕方,evening,yūgata
Time,ばん,晩,evening,ban
Time,よる,夜,"evening, night",yoru
Time,ようび,曜日,~day,yōbi
Time,しゅう,週,week,shū
Time,いっしゅうかん,一週間,one week,isshūkan
Week Days,にちようび,日曜日,Sunday,nichi-yōbi
Week Days,げつようび,月曜日,Monday,getsu-yōbi
Week Days,かようび,火曜日,Tuesday,ka-yōbi
Week Days,すいようび,水曜日,Wednesday,sui-yōbi
Week Days,もくようび,木曜日,Thursday,moku-yōbi
Week Days,きんようび,金曜日,Friday,kin-yōbi
Week Days,どようび,土曜日,Saturday,do-yōbi
Weather,たいよう,太陽,sun,taiyō
Weather,つき,月,moon,tsuki
Weather,ほし,星,star,hoshi
Weather,てんき,天気,weather,tenki
Weather,はれ,晴れ,clear weather,hare
Weather,あめ,雨,rain,ame
Weather,くもり,曇り,cloudy,kumori
Weather,ゆき,雪,snow,yuki
Weather,かぜ,風,wind,kaze
Weather,かみなり,雷,"thunder, lightning",kaminari
Weather,たいふう,台風,typhoon,taifū
Weather,あらし,嵐,storm,arashi
Weather,そら,空,sky,sora
Directions and positions,きた,北,north,kita
Directions and positions,ひがし,東,east,higashi
Directions and positions,みなみ,南,south,minami
Directions and positions,にし,西,west,nishi
Directions and positions,ここ,,here,koko
Directions and positions,そこ,,there,soko
Directions and positions,あそこ,,over there,asoko
Directions and positions,みぎ,右,right,migi
Directions and positions,ひだり,左,left,hidari
Directions and positions,うえ,上,"above, up",ue
Directions and positions,した,下,"below, down",shita
Directions and positions,まえ,前,front,mae
Directions and positions,うしろ,後,behind,ushiro
Directions and positions,むこう,向こう,"the other side, opposite side",mukō
Directions and positions,ななめ,斜め,diagonal,naname
Directions and positions,てまえ,手前,"nearer, more in front",temae
Directions and positions,とおい,遠い,far,tooi
Directions and positions,ちかい,近い,"near, close",chikai
Materials,みず,水,water,mizu
Materials,ゆ,湯,hot water,yu
Materials,こおり,氷,ice,kōri
Materials,ゆげ,湯気,steam,yuge
Materials,ひ,火,fire,hi
Materials,ガス,,gas,gasu
Materials,くうき,空気,"air, atmosphere",kūki
Materials,つち,土,"earth, ground",tsuchi
Materials,きんぞく,金属,"metal, metallic",kinzoku
Materials,どろ,泥,"mud, mire, clay, plaster",doro
Materials,けむり,煙,"smoke, tobacco, opium",kemuri
Materials,てつ,鉄,iron [Fe],tetsu
Materials,どう,銅,copper [Cu],dō
Materials,きん,金,gold [Au]; money,kin
Materials,ぎん,銀,silver [Ag]; wealth,gin
Materials,なまり,鉛,lead [Pb],namari
Materials,しお,塩,salt [NaCl],shio
Weights and measures,メートル,,meter,mētoru
Weights and measures,リットル,,litre,rittoru
Weights and measures,グラム,,gram,guramu
Weights and measures,キロ,,kilo-,kiro
Weights and measures,ミリ,,milli-,miri
Weights and measures,センチメートル,,centimeter,senchi
Weights and measures,インチ,,inch,inchi
Society,しゃかい,社会,society,shakai
Society,けいざい,経済,"economy, economics",keizai
Society,かいしゃ,会社,company,kaisha
Society,かいぎ,会議,meeting,kaigi
Society,がっこう,学校,school,gakkō
Society,やくしょ,役所,local government office,yakusho
Society,みせ,店,store,mise
Society,ホテル,,hotel,hoteru
Society,こうじょう,工場,factory,kōjō
Society,かね,金,"money ( kane , most commonly o-kane",o-kane
Society,さつ,札,"bill [of money, e.g., a thousand-yen bill]",satsu
Society,こぜに,小銭,small change,kozeni
Society,つりせん,釣り銭 / お釣り,"change ( tsurisen ), change",o-tsuri
Society,じどうはんばいき,自動販売機,"vending machine, slot machine",jidōhanbaiki
Society,きっぷ,切符,"ticket ( public transport, fine )",kippu
Society,きって,切手,stamp,kitte
Home,つくえ,机,desk,tsukue
Home,いす,椅子,"chair, position",isu
Home,たたみ,畳,a tatami mat,tatami
Home,と,戸,"door, family",to
Home,とびら,扉,door panel,tobira
Home,ドア,,door,doa
Home,まど,窓,window,mado
Home,ふとん,布団,futon,futon
Home,げんかん,玄関,entrance,genkan
Home,いえ,家,"house, home",ie
Home,エレベーター,,elevator,erebētā
Home,エスカレーター,,escalator,esukarētā
Home,でんき,電気,electricity,denki
Tools,くぎ,釘,"nail, spike",kugi
Tools,ひも,紐,"string, cord",himo
Tools,なわ,縄,"rope, string",nawa
Tools,ふくろ,袋,"pocket, bag",fukuro
Tools,かばん,鞄,leather bag,kaban
Tools,かさ,傘,"umbrella, parasol",kasa
Tools,かぎ,鍵,"door bolt, key",kagi
Tools,ちょうこく,彫刻,"sculpture, engraving",chōkoku
Stationery,ぶんぼうぐ,文房具,stationery ​,bunbōgu
Stationery,インク,,ink,inku
Stationery,ペン,,pen,pen
Stationery,ボールペン,,ball-point pen,bōrupen
Stationery,まんねんひつ,万年筆,fountain pen,mannenhitsu
Stationery,えんぴつ,鉛筆,pencil,enpitsu
Stationery,ふで,筆,brush for writing or painting,fude
Stationery,チョーク,,chalk,chōku
Stationery,けしゴム,消しゴム,eraser,keshigomu
Stationery,えんぴつけずり,鉛筆削り,pencil sharpener,enpitsu-kezuri
Stationery,じょうぎ,定規,ruler,jōgi
Stationery,ノート,,notebook,nōto
Stationery,にっき,日記,diary,nikki
Stationery,カバー,,book cover,kabā
Stationery,ふうとう,封筒,envelope,fūtō
Stationery,はさみ,鋏,scissors,hasami
Stationery,ホッチキス,,stapler,hotchikisu
Clothes,ふく,服,clothes,fuku
Clothes,ようふく,洋服,western clothing,yōfuku
Clothes,きもの,着物,kimono,kimono
Clothes,わふく,和服,Japanese clothing,wafuku
Clothes,そで,袖,sleeve,sode
Clothes,えり,襟,"lapel, collar",eri
Clothes,ボタン,,button,botan
Clothes,チャック,,"zipper, zipper fastener","chakku, fasunā, jippā"
Clothes,ベルト,,belt,beruto
Clothes,くつ,靴,shoe,kutsu
Clothes,くつした,靴下,sock,kutsushita
Clothes,めがね,眼鏡,glasses,megane
Transport,てつどう,鉄道,railway,tetsudō
Transport,えき,駅,station,eki
Transport,ひこうき,飛行機,airplane,hikōki
Transport,くうこう,空港 / 飛行場,"airport ( kūkō , hikōjō",hikōjō
Transport,みち,道,"street, way, road",michi
Transport,どうろ,道路,road,dōro
Transport,バスてい,バス停,bus-stop,basutei
Transport,とおり,通り,avenue,tōri
Transport,でんしゃ,電車,train,densha
Transport,くるま,車 / 自動車,"car ( kuruma , jidōsha",jidōsha
Transport,じてんしゃ,自転車,bicycle,Jitensha
Language,もじ,文字,"letter, character, script",moji
Language,じ,字,"a letter, character",ji
Language,かんじ,漢字,Chinese character,kanji
Language,ひらがな,平仮名,hiragana syllabary characters,hiragana
Language,カタカナ,片仮名,katakana syllabary characters,katakana
Language,すうじ,数字,numbers,sūji
Language,アルファベット,,alphabet,arufabetto
Language,ローマ字,ローマ字,"Roman characters, Latin script",rōmaji
Language,がいこくご,外国語,foreign language,gaikokugo
Language,にほんご,日本語 / 国語,Japanese [language],nihongo
Language,えいご,英語,English [language],eigo
Language,ちゅうごくご,中国語,Chinese [language],chūgokugo
Language,どいつご,ドイツ語,German [language],doitsugo
Language,すぺいんご,スペイン語,Spanish [language],supeingo
Language,ふらんすご,フランス語,French [language],furansugo
Language,ちょうせんご,朝鮮語 / 韓国語,"Korean [language], South Korean [language] ( chōsengo , kankokugo",kankokugo
Media,ほん,本,book,hon
Media,かみ,紙,paper,kami
Media,てがみ,手紙,letter,tegami
Media,しんぶん,新聞,newspaper,shinbun
Media,じしょ,辞書,dictionary,jisho
Media,パソコン,,personal computer,pasokon
Colors,いろ,色,"color ( iro , shikisai",shikisai
Colors,あか,赤,red,aka
Colors,きいろ,黄色,yellow,kiiro
Colors,みどり,緑,green,midori
Colors,あお,青,blue,ao
Colors,むらさき,紫,"purple ( murasaki , murasakiiro",murasakiiro
Colors,しろ,白,white,shiro
Colors,くろ,黒,black,kuro
Colors,ピンク,,pink,pinku
Colors,ちゃいろ,茶色,brown,chairo
Colors,はいいろ,灰色 / 鼠色,"grey ( haiiro , nezumiiro",nezumiiro
Colors,オレンジ,,orange,orenji
Others,え,絵,picture,e
Others,おんがく,音楽,music,ongaku
Others,りか,理科,science,rika
Others,さんすう,算数,arithmetic,sansū
Others,れきし,歴史,history,rekishi
Others,ちり,地理,geography,chiri
Others,たいいく,体育,physical education,taiiku
Others,スポーツ,,sport,supōtsu
Others,システム,,system,shisutemu
Others,じょうほう,情報,"information, news",jōhō
Others,ひつよう,必要,necessity,hitsuyō
Others,べんきょう,勉強,study,benkyō
Others,いらい,依頼,request,irai
Numbers,れい,零,zero,"rei, zero"
Numbers,いち,一,one,ichi
Numbers,に,二,two,ni
Numbers,さん,三,three,san
Numbers,よん,四,"four ( yon , shi",shi
Numbers,ご,五,five,go
Numbers,ろく,六,six,roku
Numbers,なな,七,"seven ( nana , shichi",shichi
Numbers,はち,八,eight,hachi
Numbers,きゅう,九,"nine ( kyū , ku",ku
Numbers,じゅう,十,ten,jū
Numbers,ひゃく,百,hundred,hyaku
Numbers,せん,千,thousand,sen
Numbers,まん,万,ten thousand,man
Numbers,おく,億,one hundred million,oku
Numbers,ひとつ,一つ,"one, one thing",hitotsu
Numbers,ふたつ,二つ,"two, two things",futatsu
Numbers,みっつ,三つ,"three, three things",mittsu
Numbers,よっつ,四つ,"four, four things",yottsu
Numbers,いつつ,五つ,"five, five things",itsutsu
Numbers,むっつ,六つ,"six, six things",muttsu
Numbers,ななつ,七つ,"seven, seven things",nanatsu
Numbers,やっつ,八つ,"eight, eight things",yattsu
Numbers,ここのつ,九つ,"nine, nine things",kokonotsu
Numbers,とお,十,"ten, ten things",tō
Abstract nouns,これ,,"this, it",kore
Abstract nouns,それ,,that,sore
Abstract nouns,あれ,,that over there,are
Abstract nouns,どれ,,which,dore
Abstract nouns,こちら,,"this direction, thing, person, or place ( kochira , kocchi",kocchi
Abstract nouns,そちら,,"that direction, thing, person, or place ( sochira , socchi",socchi
Abstract nouns,あちら,,"that direction, thing, person, or place over there ( achira , acchi",acchi
Abstract nouns,どちら,,"which direction, thing, person, or place ( dochira , docchi",docchi
Abstract nouns,ひみつ,秘密,secret,himitsu
Abstract nouns,じどう,自動,automatic,jidō
Abstract nouns,ないよう,内容,content,naiyō
Abstract nouns,はば,幅,"width, breadth, free room, difference (between two substances)",haba
Abstract nouns,せいしき,正式,formality,seishiki
Abstract nouns,けっこん,結婚,marriage,kekkon
Abstract nouns,げんざい,現在,now,genzai
Abstract nouns,いま,今,now,ima
Abstract nouns,かこ,過去,past,kako
Abstract nouns,みらい,未来,future,mirai
Forms,いい,良い,"good ( ii , yoi",yoi
Forms,すごい,凄い,amazing,sugoi
Forms,すばらしい,素晴らしい,wonderful,subarashii
Forms,わるい,悪い,"bad, inferior",warui
Forms,たかい,高い,"expensive, high",takai
Forms,ひくい,低い,low,hikui
Forms,やすい,安い,cheap,yasui
Forms,おおきい,大きい,big,ōkii
Forms,ちいさい,小さい,small,chiisai
Forms,ほそい,細い,thin,hosoi
Forms,ふとい,太い,thick,futoi
Forms,ふるい,古い,old,furui
Forms,あたらしい,新しい,new,atarashii
Forms,わかい,若い,young,wakai
Forms,かるい,軽い,"light, easy",karui
Forms,おもい,重い,heavy,omoi
Forms,やさしい,易しい,"easy, simple",yasashii
Forms,むずかしい,難しい,difficult,muzukashii
Forms,やわらかい,柔らかい,soft,yawarakai
Forms,かたい,硬い / 堅い,hard,katai
Forms,あつい,熱い / 暑い,hot,atsui
Forms,つめたい,冷たい,cold,tsumetai
Forms,さむい,寒い,cold ) as in cold weather,samui
Forms,おいしい,美味しい,delicious,oishii
Forms,うまい,美味い / 旨い,"delicious, appetizing",umai
Forms,まずい,不味い,tastes awful,mazui
Forms,あまい,甘い,sweet,amai
Forms,からい,辛い,hot [spicy],karai
Forms,しょっぱい,塩っぱい,salty,shoppai
Forms,にがい,苦い,bitter,nigai
Forms,うつくしい,美しい,beautiful,utsukushii
Feelings,うれしい,嬉しい,happy,ureshii
Feelings,たのしい,楽しい,fun,tanoshii
Feelings,かなしい,悲しい,sad,kanashii
Feelings,さびしい,寂しい / 淋しい,lonely,sabishii
Feelings,さみしい,寂しい / 淋しい,"sad, lonely",samishii
Feelings,こわい,怖い / 恐い,scary,kowai
Feelings,いたい,痛い,painful,itai
Feelings,かゆい,痒い,itchy,kayui
Feelings,くさい,臭い,stinky,kusai
Feelings,つらい,辛い,"painful, heart-breaking",tsurai
Verbs,する,,to do,suru
Verbs,やる,,to do,yaru
Existence,いる,,to exist [for animate objects],iru
Existence,ある,,to exist [for inanimate objects],aru
Existence,なる,,to become,naru
Existence,おこる,起こる / 興る,to happen,okoru
Existence,あらわれる,現れる,to appear,arawareru
Existence,いきる,生きる,to live,ikiru
Existence,うむ,生む / 産む,to give birth,umu
Existence,しぬ,死ぬ,to die,shinu
Existence,こわれる,壊れる,to break in,kowareru
Movement,いく,行く,to go,iku
Movement,くる,来る,to come,kuru
Movement,かえる,帰る / 返る,to return,kaeru
Movement,あるく,歩く,to walk,aruku
Movement,とぶ,飛ぶ,"to jump, to fly",tobu
Movement,およぐ,泳ぐ,to swim,oyogu
Actions,うごく,動く,to move in,ugoku
Actions,おどる,踊る,to dance,odoru
Actions,ねる,寝る,to sleep,neru
Actions,うたう,歌う,to sing,utau
Actions,かむ,噛む,to bite,kamu
Actions,たべる,食べる,to eat,taberu
Actions,のむ,飲む,to drink,nomu
Actions,さわる,触る,to touch,sawaru
Actions,なげる,投げる,to throw,nageru
Actions,もつ,持つ,to hold,motsu
Actions,うつ,打つ,"to hit, to strike",utsu
Actions,なぐる,殴る,"to hit, to strike",naguru
Actions,さす,指す,to point,sasu
Actions,さす,刺す,to stab,sasu
Actions,さす,差す,to raise or extend one's hands,sasu
Actions,ける,蹴る,to kick,keru
Actions,すわる,座る,to sit,suwaru
Actions,たつ,立つ,to stand,tatsu
Actions,はしる,走る,to run,hashiru
Changes of state,あく,空く,to become unoccupied,aku
Changes of state,こむ,込む,to be crowded,komu
Changes of state,いる,要る,to need,iru
Changes of state,かわく,乾く,to become dry,kawaku
Changes of state,みだす,乱す,"to disturb, to disarrange",midasu
Changes of state,みだれる,乱れる,"to be disturbed, to become confused",midareru
Changes of state,つかえる,仕える,"to serve, to work for",tsukaeru
Changes of state,そなわる,備わる,to be furnished with,sonawaru
Changes of state,すぐれる,優れる,"to excel, to surpass",sugureru
Changes of state,ひえる,冷える,"to grow cold, to get chilly, to cool down",hieru
Changes of state,さめる,覚める,"to wake, to become sober, to be disillusioned",sameru
Changes of state,さめる,冷める,to cool down,sameru
Changes of state,むく,向く,"to face, to turn toward",muku
Changes of state,たおれる,倒れる,"to fall, to collapse",taoreru
Changes of state,かたまる,固まる,"to harden, to solidify, to become firm",katamaru
Changes of state,うまる,埋まる,"to be filled, to be surrounded, to overflow",umaru
Changes of state,うもれる,埋もれる,"to be buried, to be covered",umoreru
Changes of state,ます,増す,"to increase, to grow",masu
Changes of state,ふえる,増える,"to increase, to multiply",fueru
Changes of state,へる,減る,to decrease,heru
Changes of state,はずれる,外れる,to deviate,hazureru
Changes of state,ふとる,太る,to grow fat,futoru
Changes of state,はじまる,始まる,to begin,hajimaru
Changes of state,おわる,終わる,"to finish, to close",owaru
Changes of state,きめる,決める,to decide,kimeru
Senses,みる,見る,to see,miru
Senses,きく,聞く / 聴く,"to hear, to listen",kiku
Senses,さわる,触る,"to touch, to feel",sawaru
Senses,かぐ,嗅ぐ,to smell,kagu
Speech,いう,言う,to say,iu
Speech,はなす,話す,to speak,hanasu
Speech,かたる,語る,to tell,kataru
Speech,かく,書く,to write,kaku
Speech,よむ,読む,to read,yomu
Work,つかう,使う,to use,tsukau
Work,つくる,作る / 造る / 創る,to make,tsukuru
Work,なおす,直す / 治す,"to fix, repair",naosu
Work,すてる,捨てる,"to discard, throw away",suteru
Work,とる,取る / 撮る / 採る,to take,toru
Work,おく,置く,to put,oku
Emotions,かなしむ,悲しむ / 哀しむ,to be sad,kanashimu
Emotions,なく,泣く,to cry,naku
Emotions,わらう,笑う,to laugh,warau
Emotions,おこる,怒る,to be angry,okoru
Emotions,ほめる,褒める,to encourage,homeru
Emotions,しかる,叱る,to scold,shikaru
Emotions,よろこぶ,喜ぶ,"to celebrate, to be jubilant, to have joy, to have delight, to have rapture",yorokobu
Emotions,よろこび,喜び,"joy, delight, rapture",yorokobi
Emotions,なぐさめる,慰める,"to console, to consolate, to provide empathy",nagusameru
Emotions,あきる,飽きる,"to be disinterested, to be bored, to be tired of, to be weary",akiru
Emotions,おどろく,驚く,"to be astonished, to be surprised, to be scared",odoroku
Activities,あう,会う,"to meet, to interview",au
Activities,あける,開ける,"to open tr , to unwrap tr",akeru
Activities,あそぶ,遊ぶ,to play,asobu
Activities,あつまる,集まる,to gather in,atsumaru
Activities,うる,売る,to sell,uru
Activities,える,得る,to obtain [some benefit or knowledge],eru
Activities,おる,折る,"to break tr , to fold tr",oru
Activities,かう,買う,to buy,kau
Activities,きる,切る,to cut ) †,kiru
Activities,きる,着る,to wear [on the upper body],kiru
Activities,はく,履く,to wear [on the lower body],haku
Activities,かえる,変える,to change tr,kaeru
Activities,かえる,代える,"to exchange, to substitute, to replace",kaeru
Activities,しめる,閉める,to close tr,shimeru
Activities,しめる,締める,"to tie, to fasten",shimeru
Activities,しめる,占める,"to comprise, to account for",shimeru
Activities,しる,知る,to know ) †,shiru
Activities,つかれる,疲れる,to get tired,tsukareru
Activities,でかける,出掛ける,"to go out, to depart",dekakeru
Activities,はたらく,働く,"to work [e.g., at a job]",hataraku
Activities,はなす,放す / 離す,to let go of,hanasu
Activities,やすむ,休む,"to rest, to take a break, to go to bed",yasumu
Activities,わかれる,分かれる,"to split into in , to be divided",wakareru
Activities,わかれる,別れる,"to part in , to separate in , to break up in",wakareru
